profile_id,n_samples,duration_min,speed_mean_rpm,speed_max_rpm,torque_mean_nm,torque_max_nm,iq_mean_a,iq_max_a,winding_mean_c,winding_max_c,pm_max_c,coolant_mean_c,ambient_mean_c,thermal_risk,shaft_load_risk
2,19357,161.31,100.0,100.55,79.15,208.29,93.32,242.43,51.11,103.28,45.99,18.54,22.17,69.4,79.8
3,19248,160.4,100.0,100.29,51.69,103.78,66.64,132.62,29.03,39.1,29.01,18.76,21.98,15.9,39.8
4,33424,278.53,2683.07,6000.02,32.84,177.27,40.57,204.66,46.01,113.38,99.4,18.63,24.56,77.8,67.9
5,14788,123.23,999.99,1000.44,43.52,103.67,56.47,132.62,30.75,43.4,39.94,18.8,22.76,19.5,39.7
6,40388,336.57,3445.31,4999.96,15.35,200.86,16.83,215.24,70.84,121.03,93.51,29.02,25.64,84.2,77.0
7,14651,122.09,499.59,500.02,84.89,103.67,109.1,132.62,36.14,39.96,35.85,18.69,22.8,16.6,39.7
8,18757,156.31,1498.04,1500.0,53.49,103.81,69.38,132.62,35.15,45.99,44.29,18.59,22.87,21.7,39.8
9,20336,169.47,2496.96,2499.99,55.73,101.52,69.3,123.66,41.53,54.52,51.11,18.67,25.19,28.8,38.9
10,15256,127.13,1926.08,5997.06,-2.76,140.13,-5.19,173.0,39.73,93.68,72.08,18.73,22.44,61.4,53.7
11,7887,65.72,2115.52,5938.35,47.81,206.24,57.65,247.66,49.37,74.47,57.11,18.55,23.15,45.4,79.0
12,21942,182.85,1998.11,1999.99,59.13,103.03,77.46,132.62,39.1,50.05,47.84,18.53,23.35,25.0,39.5
13,35906,299.22,249.89,250.04,55.53,104.03,71.44,132.62,30.19,39.45,31.88,18.49,22.94,16.2,39.9
14,18598,154.98,2997.06,2999.99,59.87,100.66,68.55,113.51,50.97,67.33,59.17,18.72,23.03,39.4,38.6
15,18124,151.03,3994.91,3999.97,52.26,96.45,54.76,99.84,79.1,114.14,94.62,18.68,24.5,78.5,37.0
16,20645,172.04,747.08,750.02,92.97,140.31,115.73,173.0,46.21,59.17,46.98,18.51,24.31,32.6,53.8
17,15964,133.03,4989.85,4999.97,25.67,48.87,28.86,55.31,60.81,72.43,69.59,18.93,23.95,43.7,18.7
18,37732,314.43,99.92,100.07,100.29,155.96,121.97,188.41,48.08,64.09,38.56,18.46,22.94,36.7,59.8
19,10410,86.75,5979.23,5999.97,39.54,49.63,42.23,55.14,91.6,102.38,96.78,19.24,24.45,68.6,19.0
20,43971,366.43,2793.2,5749.97,53.61,232.7,64.64,271.39,67.54,125.38,105.95,32.97,25.08,87.8,89.2
21,17321,144.34,4499.96,4499.97,30.42,80.32,32.8,84.03,66.04,104.79,91.51,18.93,21.63,70.7,30.8
23,11856,98.8,3490.55,3499.98,58.66,116.53,60.91,119.51,81.59,124.49,96.75,22.68,23.03,87.1,44.6
24,15015,125.12,5494.81,5499.97,37.21,64.68,38.65,66.43,92.56,123.26,113.61,19.38,23.03,86.1,24.8
26,16666,138.88,3496.6,3499.99,61.89,118.34,63.97,120.35,82.09,124.39,95.45,18.78,22.75,87.0,45.3
27,35361,294.68,2610.43,5849.95,74.44,237.68,86.99,277.55,68.67,138.65,109.33,18.76,23.99,98.9,91.1
29,21358,177.98,2875.07,5969.96,74.57,260.83,84.13,301.71,75.86,141.36,98.1,19.02,22.1,100.0,99.9
30,23863,198.86,795.91,1960.0,94.8,217.31,118.56,253.6,46.77,114.3,53.28,18.59,21.13,78.6,83.3
31,15587,129.89,5054.13,5999.96,51.19,75.53,54.96,89.07,82.46,112.87,102.1,18.9,22.68,77.4,28.9
32,20960,174.67,2957.59,3999.98,95.06,183.12,107.4,193.91,74.17,131.44,88.35,19.11,21.58,92.9,70.2
36,22609,188.41,823.01,1799.99,62.76,261.01,75.28,301.71,49.07,133.84,47.37,18.89,19.86,94.9,100.0
41,16700,139.17,1734.84,4999.97,91.72,225.0,112.2,271.38,84.08,124.77,94.29,44.26,23.93,87.3,86.2
42,16920,141.0,2192.84,4000.12,76.79,163.65,100.05,197.44,67.68,101.99,72.77,47.48,25.61,68.3,62.7
43,8443,70.36,1627.75,4999.95,61.13,225.0,74.64,271.39,62.57,122.11,69.14,33.03,23.29,85.1,86.2
44,26341,219.51,1970.18,5499.97,38.14,200.0,48.53,242.43,66.04,114.17,84.73,51.65,24.33,78.5,76.6
45,17142,142.85,1675.69,4999.97,40.92,200.0,53.27,240.71,73.38,114.81,89.65,62.82,24.59,79.0,76.6
46,2180,18.17,2625.38,5902.03,-23.62,173.42,-31.27,184.04,113.47,127.5,92.91,91.01,24.25,89.6,66.4
47,2176,18.13,2615.75,5902.52,-23.67,173.42,-31.17,183.08,79.12,93.87,79.32,49.77,24.27,61.6,66.4
48,21983,183.19,2752.15,5976.12,15.23,247.28,20.02,297.99,80.31,127.78,89.17,49.79,25.19,89.8,94.7
49,10816,90.13,2722.79,5968.58,3.81,247.53,9.04,298.4,89.49,128.05,81.92,49.96,25.83,90.0,94.8
50,10810,90.08,2726.64,5968.47,5.73,247.53,11.27,298.4,78.43,121.17,75.85,34.17,26.1,84.3,94.8
51,6261,52.17,2855.32,5884.49,-29.33,242.58,-36.97,292.39,96.11,122.79,84.6,61.23,26.21,85.7,92.9
52,3726,31.05,2664.81,5878.08,21.21,245.54,25.98,295.8,84.6,129.51,78.22,44.7,26.27,91.3,94.1
53,32442,270.35,2987.87,5941.27,7.13,246.14,8.27,296.6,75.73,114.57,87.94,37.45,26.92,78.8,94.3
54,10807,90.06,2861.61,5929.43,4.22,245.25,4.54,295.47,79.87,104.79,77.04,41.71,26.47,70.7,94.0
55,10807,90.06,2861.34,5929.42,4.24,245.25,4.54,295.46,80.79,117.79,80.19,45.53,25.28,81.5,94.0
56,33123,276.02,2360.83,5981.34,4.92,244.56,2.51,294.68,92.55,131.68,97.55,58.9,26.88,93.1,93.7
57,14403,120.03,2512.73,5941.89,-21.54,208.5,-26.24,227.74,79.03,131.63,88.63,52.83,25.91,93.0,79.9
58,33382,278.18,3070.31,5946.58,37.13,242.2,46.03,289.74,86.93,131.15,92.98,55.29,27.81,92.6,92.8
59,7475,62.29,2714.65,5896.69,31.62,222.17,38.64,254.12,94.2,132.72,92.44,56.33,26.17,93.9,85.1
60,14543,121.19,2245.86,5901.43,-15.97,240.49,-20.0,289.76,75.32,129.0,85.15,50.66,26.34,90.8,92.1
61,14516,120.97,2248.07,5928.64,3.71,237.61,3.95,286.23,81.96,129.67,92.76,52.9,27.14,91.4,91.0
62,25600,213.33,894.34,5898.62,-2.11,241.37,-1.87,290.85,47.36,101.35,76.27,37.62,23.7,67.8,92.5
63,16668,138.9,1946.01,5945.24,10.08,244.17,12.44,294.17,74.45,104.79,71.64,52.9,25.51,70.7,93.6
64,6250,52.08,2438.37,5878.89,8.51,240.12,9.95,289.25,70.5,95.31,69.44,42.27,25.08,62.8,92.0
65,40094,334.12,2119.71,5960.18,-17.44,237.96,-20.17,286.75,71.78,129.21,93.06,46.83,26.42,91.0,91.2
66,36476,303.97,1875.27,5977.09,-0.2,232.71,-0.85,277.98,73.93,128.34,94.2,56.06,26.02,90.3,89.2
67,11135,92.79,2062.68,5898.57,-4.99,241.37,-5.85,290.85,53.48,89.45,65.74,27.44,26.03,57.9,92.5
68,23331,194.43,2111.64,5944.42,-9.07,239.17,-10.91,288.23,77.76,126.28,85.99,48.93,26.89,88.6,91.6
69,15350,127.92,2126.05,5911.34,-9.59,236.98,-11.41,281.58,82.34,113.28,85.3,62.63,25.89,77.7,90.8
70,25677,213.97,1350.67,5898.37,-4.52,236.84,-5.0,285.38,62.33,120.62,76.43,45.19,26.18,83.9,90.7
71,14656,122.13,1503.57,5947.97,5.41,247.21,6.88,297.86,67.75,104.79,77.5,49.58,23.52,70.7,94.7
72,15301,127.51,1495.28,5950.14,3.05,248.39,4.65,299.38,64.91,104.79,77.88,49.38,24.59,70.7,95.2
73,16786,139.88,2133.9,5921.12,2.18,239.16,3.12,288.21,74.43,131.6,88.24,47.44,24.88,93.0,91.6
74,23761,198.01,2091.72,5943.33,-13.36,238.69,-17.38,270.86,82.55,129.28,91.93,53.19,26.99,91.1,91.5
75,13472,112.27,2129.96,5941.93,-13.32,237.5,-16.06,282.28,78.61,130.13,93.67,58.9,24.66,91.8,91.0
76,22188,184.9,1947.55,5945.5,1.19,226.39,1.92,273.16,73.28,117.89,82.55,54.3,26.27,81.6,86.7
78,8445,70.38,1876.57,5901.99,2.61,209.48,2.27,250.96,68.51,100.85,68.03,51.33,25.61,67.4,80.3
79,31154,259.62,2088.11,5947.93,-10.33,248.61,-12.99,299.62,77.29,128.25,97.15,54.42,25.88,90.2,95.3
80,23824,198.53,2061.94,5943.54,-0.77,236.7,-1.04,285.31,78.05,121.1,81.76,54.7,24.11,84.2,90.7
81,17672,147.27,992.84,5898.6,-0.58,241.37,0.18,290.86,64.52,104.66,76.64,58.32,24.42,70.5,92.5
